act_number,tree_adress,Latitude,Longitude,tree_cut_requester,tree_characteristics,number,date,cutting_act,was_cut,date_number,date_UTF,tree_adress_shorten
"№ 3652
 від 07.03.18",м. Кропивницький Лелеківський лісопарк,48.51209888621895,32.256329880417866,КП «Благоустрій» МРМК»,сосна діам. 15-25 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький Лелеківський лісопарк
"№ 3652
 від 07.03.18",м. Кропивницький Лелеківський лісопарк,48.51251770936022,32.255843343690636,КП «Благоустрій» МРМК»,сосна діам. 15-25 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький Лелеківський лісопарк
"№ 3652
 від 07.03.18",м. Кропивницький Лелеківський лісопарк,48.51306629430932,32.25802375553919,КП «Благоустрій» МРМК»,сосна діам. 15-25 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький Лелеківський лісопарк
"№ 3652
 від 07.03.18",м. Кропивницький Лелеківський лісопарк,48.512291221067606,32.26782515633804,КП «Благоустрій» МРМК»,сосна діам. 15-25 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький Лелеківський лісопарк
"№ 3652
 від 07.03.18",м. Кропивницький Лелеківський лісопарк,48.503901988326035,32.25746249595686,КП «Благоустрій» МРМК»,акація - діам. 20-25 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький Лелеківський лісопарк
"№ 3653
 від 07.03.18","м. Кропивницький вул. Академіка Корольова, 7",48.50145646740997,32.2266530613057,КП «Благоустрій» МРМК»,клен діам. 40-45 см,1,№ 818/03-01-06 від 26.03.18,26.03.18,True,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Академіка Корольова, 7"
"№ 3654
 від 07.03.18","м. Кропивницький вул. Володимирська, 54/35",48.50461941346271,32.25673659872549,КП «Благоустрій» МРМК»,каштан діам. 35-40 см,1,№ 735/03-01-06 від 15.03.18,15.03.18,True,№ 735/03-01-06,15.03.18,"м. Кропивницький вул. Володимирська, 54/35"
№ 3655 від 22.03.18,"м. Кропивницький вул. Гагаріна, 3-а (біля гаражів навпроти під. № 3)",48.50379247691534,32.25897860668672,КП «ЖЕО № 2» Міської ради міста Кропивницького,ясень діам. 35-40 см,1,№ 933/03-01-06 від 06.04.18,06.04.18,True,№ 933/03-01-06,06.04.18,"м. Кропивницький вул. Гагаріна, 3-а"
№ 3656 від 22.03.18,"м. Кропивницький вул. Євгена Тельнова, 9 корп. 2",48.50939623055303,32.23488949243861,КП «ЖЕО № 3» Міської ради міста Кропивницького,яблуня діам. 15-20 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Євгена Тельнова, 9 корп. 2"
№ 3656 від 22.03.18,"м. Кропивницький вул. Євгена Тельнова, 9 корп. 2",48.506982355213665,32.221940523267364,КП «ЖЕО № 3» Міської ради міста Кропивницького,яблуня діам. 15-20 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Євгена Тельнова, 9 корп. 2"
1,1,858.9964261623155,136.99591687952827,1,1,1,1,1,False,1,1,1
"№ 3658
 від 22.03.18",м. Кропивницький вул. Архітектора Паученка (уздовж дороги буд. № 46),48.51600374955842,32.267067329726615,КП «Благоустрій» МРМК»,липа діам. 35-40 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вул. Архітектора Паученка
"№ 3658
 від 22.03.18",м. Кропивницький вул. Архітектора Паученка (уздовж дороги буд. № 60),48.50432484256476,32.27912183221616,КП «Благоустрій» МРМК»,акація діам. 40-45 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вул. Архітектора Паученка
"№ 3658
 від 22.03.18",м. Кропивницький вул. Архітектора Паученка (уздовж дороги буд. № 66),48.50303188903266,32.28039314008883,КП «Благоустрій» МРМК»,липа діам. 45-50 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вул. Архітектора Паученка
"№ 3658
 від 22.03.18",м. Кропивницький вул. Архітектора Паученка (уздовж дороги буд. № 66),48.50338218627144,32.26749918895314,КП «Благоустрій» МРМК»,липа діам. 45-50 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вул. Архітектора Паученка
"№ 3658
 від 22.03.18",м. Кропивницький вул. Архітектора Паученка (уздовж дороги буд. № 68),48.50058384847901,32.268416387788996,КП «Благоустрій» МРМК»,липа діам. 20-25 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вул. Архітектора Паученка
"№ 3658
 від 22.03.18",м. Кропивницький вул. Архітектора Паученка (уздовж дороги буд. № 80),48.50430531405425,32.28024581886651,КП «Благоустрій» МРМК»,клен діам. 40-45 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вул. Архітектора Паученка
"№ 3658
 від 22.03.18",м. Кропивницький вул. Архітектора Паученка (уздовж дороги буд. № 88),48.50149827791797,32.28097372177753,КП «Благоустрій» МРМК»,акація діам. 40-45 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вул. Архітектора Паученка
