act_number,tree_adress,Latitude,Longitude,tree_cut_requester,tree_characteristics,number,date,cutting_act,was_cut,date_number,date_UTF,tree_adress_shorten
"№ 3667
 від 11.04.18","м. Кропивницький вул. Короленка, 58 (на території)",48.5397240873941,32.26213015875427,Кіровоградський обласний госпіталь для ветеранів війни,сосна діам. 20-30 см,9,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Короленка, 58"
"№ 3667
 від 11.04.18","м. Кропивницький вул. Короленка, 58 (на території)",48.53998846165735,32.261886452098736,Кіровоградський обласний госпіталь для ветеранів війни,сосна діам. 20-30 см,9,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Короленка, 58"
"№ 3667
 від 11.04.18","м. Кропивницький вул. Короленка, 58 (на території)",48.53976371037192,32.26210474477276,Кіровоградський обласний госпіталь для ветеранів війни,сосна діам. 20-30 см,9,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Короленка, 58"
"№ 3667
 від 11.04.18","м. Кропивницький вул. Короленка, 58 (на території)",48.54001928382552,32.262128952363,Кіровоградський обласний госпіталь для ветеранів війни,сосна діам. 20-30 см,9,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Короленка, 58"
"№ 3667
 від 11.04.18","м. Кропивницький вул. Короленка, 58 (на території)",48.53976090792727,32.26218401483868,Кіровоградський обласний госпіталь для ветеранів війни,сосна діам. 20-30 см,9,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Короленка, 58"
"№ 3667
 від 11.04.18","м. Кропивницький вул. Короленка, 58 (на території)",48.540070895252576,32.261857610493905,Кіровоградський обласний госпіталь для ветеранів війни,сосна діам. 20-30 см,9,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Короленка, 58"
"№ 3668
 від 11.04.18","м. Кропивницький вул. Добровольського, 1 (парк «Авіаторів»)",48.53304723067315,32.276136159594984,ЛАНАУ,ясен діам. 30-35 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Добровольського, 1"
"№ 3668
 від 11.04.18","м. Кропивницький вул. Добровольського, 1 (парк «Авіаторів»)",48.53357696972823,32.27591144410994,ЛАНАУ,клен діам. 35-40 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Добровольського, 1"
"№ 3668
 від 11.04.18",м. Кропивницький авіаційний загін,48.50804904640307,32.26229322518263,ЛАНАУ,клен діам. 55-60 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький авіаційний загін
"№ 3668
 від 11.04.18",м. Кропивницький авіаційний загін,48.50773376043218,32.26275514788808,ЛАНАУ,яблуня діам. 45-50 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький авіаційний загін
"№ 3669
 від 11.04.18","м. Кропивницький вул. Волкова, 18-а (на території закладу)",48.50575062182571,32.22297669977633,ДНЗ № 17 «Орлятко»,вишня діам. 20-25 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Волкова, 18-а"
"№ 3670
 від 11.04.18","м. Кропивницький вул. Шевченка, 41-а ДНЗ № 2 «Ятранчик»",48.511443581323306,32.272158304902035,МЧС Міської ради,ялина діам. 20-25 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Шевченка, 41-а ДНЗ № 2 «Ятранчик»"
"№ 3670
 від 11.04.18","м. Кропивницький вул. Комарова, 60 ДНЗ № 22 «Оленка»",48.493939345049476,32.23640624743635,МЧС Міської ради,черешня діам. 25-30 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Комарова, 60 ДНЗ № 22 «Оленка»"
"№ 3670
 від 11.04.18","м. Кропивницький вул. Таврійська, 29/32 (на території КЗ НВО № 1 «Перлинка",48.5080681971814,32.26272432571342,МЧС Міської ради,акація діам. 35-40 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Таврійська, 29/32"
"№ 3671
 від 11.04.18","м. Кропивницький вул. Велика Перспективна, 11/11, корп. 7",48.51517649749883,32.27225782504139,МЧС Міської ради,яблуня діам. 30-35 см,1,№ 1017/03-01-06 від 17.04.18,17.04.18,True,№ 1017/03-01-06,17.04.18,"м. Кропивницький вул. Велика Перспективна, 11/11, корп. 7"
"№ 3672
 від 11.04.18","м. Кропивницький вул. Яновського, 54",48.49437394298309,32.25244847622492,МЧС Міської ради,тополя діам. 40-45 см,1,№ 1017/03-01-06 від 17.04.18,17.04.18,True,№ 1017/03-01-06,17.04.18,"м. Кропивницький вул. Яновського, 54"
"№ 3673
 від 11.04.18","м. Кропивницький вул. Василя Нікітіна, 23-г (біля під. № 1 та навпроти під. № 2 та № 3)",48.52717853316118,32.27309286623419,ПП «Кіровоградська компанія інвестиційного булівництва «Кіровоградінвестбуд»,тополя діам. 45-55 см,2,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Василя Нікітіна, 23-г"
"№ 3673
 від 11.04.18","м. Кропивницький вул. Василя Нікітіна, 23-г (біля під. № 1 та навпроти під. № 2 та № 3)",48.52750137066785,32.273030219270645,ПП «Кіровоградська компанія інвестиційного булівництва «Кіровоградінвестбуд»,тополя діам. 45-55 см,2,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Василя Нікітіна, 23-г"
"№ 3674
 від 11.04.18","м. Кропивницький вул. Комарова, 11 (на території НЗ № 52 «Казковий»)",48.503041707698955,32.24719105158623,Управління освіти Міської ради,тополя діам. 60-65 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Комарова, 11"
"№ 3674
 від 11.04.18","м. Кропивницький вул. Комарова, 11 (на території НЗ № 52 «Казковий»)",48.50297981656768,32.24691435773803,Управління освіти Міської ради,клен діам. 50-55 см,2,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Комарова, 11"
"№ 3674
 від 11.04.18","м. Кропивницький вул. Комарова, 11 (на території НЗ № 52 «Казковий»)",48.503295525739205,32.24690381535439,Управління освіти Міської ради,клен діам. 50-55 см,2,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Комарова, 11"
"№ 3674
 від 11.04.18","м. Кропивницький вул. Комарова, 11 (на території НЗ № 52 «Казковий»)",48.50332965426143,32.24688005590213,Управління освіти Міської ради,клен 2 діам. 70-75 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Комарова, 11"
"№ 3674
 від 11.04.18","м. Кропивницький вул. Комарова, 11 (на території НЗ № 52 «Казковий»)",48.50300370985745,32.24691986054229,Управління освіти Міської ради,абрикос 2 діам. 20-25 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Комарова, 11"
"№ 3674
 від 11.04.18","м. Кропивницький вул. Комарова, 11 (на території НЗ № 52 «Казковий»)",48.503047730254494,32.247147060870894,Управління освіти Міської ради,абрикос діам. 35-40 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Комарова, 11"
"№ 3674
 від 11.04.18","м. Кропивницький вул. Комарова, 11 (на території НЗ № 52 «Казковий»)",48.50297825406618,32.24717855115097,Управління освіти Міської ради,берест діам. 15-20 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Комарова, 11"
"№ 3674
 від 11.04.18","м. Кропивницький вул. Комарова, 11 (на території НЗ № 52 «Казковий»)",48.503001733193436,32.24688531831397,Управління освіти Міської ради,горобина діам. 30-35 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Комарова, 11"
"№ 3674
 від 11.04.18","м. Кропивницький вул. Комарова, 11 (на території НЗ № 52 «Казковий»)",48.50306307800882,32.246893307227076,Управління освіти Міської ради,яблуня діам. 15-20 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Комарова, 11"
"№ 3675
 від 11.04.18","м. Кропивницький вул. Волкова, 3-в",48.5002816844247,32.21936728678895,ПП «Інтелтех-Л А»,горіх діам. діам. 30-35 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Волкова, 3-в"
"№ 3675
 від 11.04.18","м. Кропивницький вул. Волкова, 3-в",48.50056881769701,32.219534601260044,ПП «Інтелтех-Л А»,акація діам. 60-65 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Волкова, 3-в"
"№ 3675
 від 11.04.18","м. Кропивницький вул. Волкова, 3-в",48.50045875814533,32.2194850067277,ПП «Інтелтех-Л А»,клен діам. 60-65 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Волкова, 3-в"
"№ 3675
 від 11.04.18","м. Кропивницький вул. Волкова, 3-в",48.50033273341421,32.219102669082275,ПП «Інтелтех-Л А»,берест 3 діам. 25-30 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Волкова, 3-в"
"№ 3675
 від 11.04.18","м. Кропивницький вул. Волкова, 3-в",48.500894559930515,32.219523440184794,ПП «Інтелтех-Л А»,берест діам. 20-25 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Волкова, 3-в"
"№ 3675
 від 11.04.18","м. Кропивницький вул. Волкова, 3-в",48.50038174275737,32.219409625287796,ПП «Інтелтех-Л А»,верба плакуча діам. 40-45 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Волкова, 3-в"
"№ 3675
 від 11.04.18","м. Кропивницький вул. Волкова, 3-в",48.50115872332588,32.2194583333875,ПП «Інтелтех-Л А»,верба плакуча діам. 60-65 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Волкова, 3-в"
