act_number,tree_adress,Latitude,Longitude,tree_cut_requester,tree_characteristics,number,date,cutting_act,was_cut,date_number,date_UTF,tree_adress_shorten
"№ 3676
 від 11.04.18","м. Кропивницький вул. Курганна, 2-а (на території)",48.49079193554388,32.22682022642836,ДНЗ № 65 «Лукомор'я»,акація діам. 40-45 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Курганна, 2-а"
"№ 3676
 від 11.04.18","м. Кропивницький вул. Курганна, 2-а (на території)",48.48994436562265,32.230183932762316,ДНЗ № 65 «Лукомор'я»,тополя діам. 60-65 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Курганна, 2-а"
"№ 3676
 від 11.04.18","м. Кропивницький вул. Курганна, 2-а (на території)",48.482656914888636,32.22642552391192,ДНЗ № 65 «Лукомор'я»,абрикос діам. 20-25 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Курганна, 2-а"
"№ 3676
 від 11.04.18","м. Кропивницький вул. Курганна, 2-а (на території)",48.483586437457596,32.2510103472654,ДНЗ № 65 «Лукомор'я»,черешня діам. 20-25 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Курганна, 2-а"
"№ 3676
 від 11.04.18","м. Кропивницький вул. Курганна, 2-а (на території)",48.50435049957761,32.24289124621677,ДНЗ № 65 «Лукомор'я»,горобина діам. 20-25 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Курганна, 2-а"
"№ 3677
 від 11.04.18","м. Кропивницький вул. Яновського, 62-а (на території)",48.48235676798401,32.2421499482347,ДНЗ № 70 «Оленка»,груша діам. 20-25 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Яновського, 62-а"
"№ 3677
 від 11.04.18","м. Кропивницький вул. Яновського, 62-а (на території)",48.49571383501943,32.25114205983008,ДНЗ № 70 «Оленка»,черешня діам. 30-35 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Яновського, 62-а"
"№ 3677
 від 11.04.18","м. Кропивницький вул. Яновського, 62-а (на території)",48.48212994647281,32.25801509663592,ДНЗ № 70 «Оленка»,черемха діам. 25-30 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Яновського, 62-а"
"№ 3677
 від 11.04.18","м. Кропивницький вул. Яновського, 62-а (на території)",48.49405542043909,32.259060594632196,ДНЗ № 70 «Оленка»,клен діам. 50-55 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Яновського, 62-а"
"№ 3677
 від 11.04.18","м. Кропивницький вул. Яновського, 62-а (на території)",48.493618794516635,32.26316031474056,ДНЗ № 70 «Оленка»,абрикос діам. 35-40 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Яновського, 62-а"
"№ 3677
 від 11.04.18","м. Кропивницький вул. Яновського, 62-а (на території)",48.49433609218429,32.237115804994524,ДНЗ № 70 «Оленка»,слива діам. 20-25 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Яновського, 62-а"
"№ 3677
 від 11.04.18","м. Кропивницький вул. Яновського, 62-а (на території)",48.485568892809944,32.23237763427274,ДНЗ № 70 «Оленка»,абрикос діам. 25-30 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Яновського, 62-а"
"№ 3678
 від 11.04.18","м. Кропивницький вул. Херсонська, 115/6",48.48301603180453,32.292233389680085,гр. Григорвш А.С.,акація діам. 50-65,1,№ 1017/03-01-06 від 17.04.18,17.04.18,True,№ 1017/03-01-06,17.04.18,"м. Кропивницький вул. Херсонська, 115/6"
"№ 3678
 від 11.04.18","м. Кропивницький вул. Херсонська, 115/6",48.48544551809869,32.27807991561171,гр. Григорвш А.С.,акація діам. 50-65,1,№ 1017/03-01-06 від 17.04.18,17.04.18,True,№ 1017/03-01-06,17.04.18,"м. Кропивницький вул. Херсонська, 115/6"
"№ 3678
 від 11.04.18","м. Кропивницький вул. Херсонська, 115/6",48.49978768485203,32.284457126781895,гр. Григорвш А.С.,акація діам. 50-65,1,№ 1017/03-01-06 від 17.04.18,17.04.18,True,№ 1017/03-01-06,17.04.18,"м. Кропивницький вул. Херсонська, 115/6"
"№ 3679
 від 11.04.18","м. Кропивницький вул. Тараса Карпи, 76",48.507372365615076,32.2812683229127,Кіровоградське обласне управління лісового та мисливського господарства,ялина діам. 20-25 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Тараса Карпи, 76"
"№ 3680
 від 11.04.18","м. Кропивницький вул. Преображенська, 103 (на території ДНЗ «Перлинка»)",48.511015595497746,32.28953506680396,Управління освіти Міської ради,акація діам. 70-80 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Преображенська, 103"
"№ 3680
 від 11.04.18","м. Кропивницький вул. Преображенська, 103 (на території ДНЗ «Перлинка»)",48.49632265477152,32.28782113379646,Управління освіти Міської ради,акація діам. 70-80 см,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Преображенська, 103"
