,Unnamed: 0,act_number,tree_adress,Latitude,Longitude,tree_cut_requester,tree_characteristics,number,date,cutting_act,was_cut,date_number,date_UTF,tree_adress_shorten
90,90,"№ 3651
 від 07.03.18","м. Кропивницький вул. Євгена Тельнова, 8, корп. 6",48.5026445,32.229924,КП «ЖЕО № 3» Міської ради міста Кропивницького,вишня,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Євгена Тельнова, 8, корп. 6"
91,91,"№ 3651
 від 07.03.18","м. Кропивницький вул. Євгена Тельнова, 8, корп. 6",48.5026186,32.229999,КП «ЖЕО № 3» Міської ради міста Кропивницького,яблуня,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Євгена Тельнова, 8, корп. 6"
92,92,"№ 3652
 від 07.03.18",м. Кропивницький Лелеківський лісопарк,48.50793300000206,32.262978000000004,КП «Благоустрій» МРМК»,сосна,8,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький Лелеківський лісопарк
93,93,"№ 3652
 від 07.03.18",м. Кропивницький Лелеківський лісопарк,48.50793300000845,32.262159999999994,КП «Благоустрій» МРМК»,акація -,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький Лелеківський лісопарк
94,94,"№ 3653
 від 07.03.18","м. Кропивницький вул. Академіка Корольова, 7",48.50483610000001,32.23450349999915,КП «Благоустрій» МРМК»,клен,1,№ 818/03-01-06 від 26.03.18,26.03.18,True,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Академіка Корольова, 7"
95,95,"№ 3654
 від 07.03.18","м. Кропивницький вул. Володимирська, 54/35",48.507933000002396,32.262428,КП «Благоустрій» МРМК»,каштан,1,№ 735/03-01-06 від 15.03.18,15.03.18,True,№ 735/03-01-06,15.03.18,"м. Кропивницький вул. Володимирська, 54/35"
96,96,№ 3655 від 22.03.18,"м. Кропивницький вул. Гагаріна, 3-а (біля гаражів навпроти під. № 3)",48.50793300000635,32.262171,КП «ЖЕО № 2» Міської ради міста Кропивницького,ясень,1,№ 933/03-01-06 від 06.04.18,06.04.18,True,№ 933/03-01-06,06.04.18,"м. Кропивницький вул. Гагаріна, 3-а"
97,97,№ 3656 від 22.03.18,"м. Кропивницький вул. Євгена Тельнова, 9 корп. 2",48.502764,32.22882530000086,КП «ЖЕО № 3» Міської ради міста Кропивницького,яблуня,2,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Євгена Тельнова, 9 корп. 2"
98,98,"№ 3658
 від 22.03.18",м. Кропивницький вул. Архітектора Паученка (уздовж дороги буд. № 46),48.5081474,32.2735836,КП «Благоустрій» МРМК»,липа,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вул. Архітектора Паученка
99,99,"№ 3658
 від 22.03.18",м. Кропивницький вул. Архітектора Паученка (уздовж дороги буд. № 60),48.5081131,32.2735953,КП «Благоустрій» МРМК»,акація,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вул. Архітектора Паученка
100,100,"№ 3658
 від 22.03.18",м. Кропивницький вул. Архітектора Паученка (уздовж дороги буд. № 66),48.5081953,32.2735708,КП «Благоустрій» МРМК»,липа,2,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вул. Архітектора Паученка
101,101,"№ 3658
 від 22.03.18",м. Кропивницький вул. Архітектора Паученка (уздовж дороги буд. № 68),48.508120700000006,32.2735226,КП «Благоустрій» МРМК»,липа,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вул. Архітектора Паученка
102,102,"№ 3658
 від 22.03.18",м. Кропивницький вул. Архітектора Паученка (уздовж дороги буд. № 80),48.5081975,32.273542,КП «Благоустрій» МРМК»,клен,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вул. Архітектора Паученка
103,103,"№ 3658
 від 22.03.18",м. Кропивницький вул. Архітектора Паученка (уздовж дороги буд. № 88),48.5081332,32.2735567,КП «Благоустрій» МРМК»,акація,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вул. Архітектора Паученка
104,104,"№ 3658
 від 22.03.18",м. Кропивницький вул. Архітектора Паученка (уздовж дороги між буд. № 104 та 106),48.5081699,32.2735968,КП «Благоустрій» МРМК»,шовковиця,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вул. Архітектора Паученка
